CaseID,Activity,Duration,Timestamp,Duration Float,Time to conclusion,Passed Time,Step,Prefix
1-109135791,queued,0 days 00:00:00,2006-01-11 14:49:42+00:00,0.0,2254.8485,-0.0,1,queued
1-109135791,accepted,2254 days 20:19:23,2012-03-15 10:53:52+00:00,2254.8468,0.0017,0.0017,2,"queued,accepted"
1-109135791,completed,0 days 00:02:28,2012-03-15 11:11:33+00:00,0.0017,-0.0,2254.8485,3,"queued,accepted,completed"
1-147898401,accepted,1900 days 00:22:48,2006-11-07 09:00:36+00:00,1900.0158,0.0,0.0,1,accepted
1-147898401,completed,0 days 00:00:03,2012-01-20 09:23:27+00:00,0.0,0.0,0.0,2,"accepted,completed"
1-165554831,accepted,1764 days 23:46:16,2007-03-20 08:06:25+00:00,1764.9905,0.0,0.0,1,accepted
1-165554831,completed,0 days 00:00:02,2012-01-18 07:52:43+00:00,0.0,0.0,0.0,2,"accepted,completed"
1-172473423,accepted,1713 days 16:58:59,2007-05-10 14:21:54+00:00,1713.7076,0.0002,-0.0,1,accepted
1-172473423,completed,0 days 00:00:17,2012-01-18 07:21:10+00:00,0.0002,-0.0,0.0002,2,"accepted,completed"
1-182640781,accepted,861 days 01:03:27,2007-07-25 12:21:05+00:00,861.0441,761.8801,-0.0,1,accepted
1-182640781,queued,265 days 19:48:29,2010-08-25 09:13:01+00:00,265.8253,496.0548,0.0009,2,"accepted,queued"
1-182640781,accepted,496 days 01:17:34,2011-09-05 07:24:13+00:00,496.0539,0.0009,496.0548,3,"accepted,queued,accepted"
1-182640781,completed,0 days 00:01:18,2012-01-03 10:31:53+00:00,0.0009,-0.0,761.8801,4,"accepted,queued,accepted,completed"
1-230541365,accepted,1352 days 13:54:41,2008-05-07 16:58:51+00:00,1352.5796,0.0,0.0,1,accepted
1-230541365,completed,0 days 00:00:03,2012-01-20 06:53:35+00:00,0.0,0.0,0.0,2,"accepted,completed"
1-236817141,accepted,546 days 03:22:16,2008-06-04 10:02:18+00:00,546.1405,763.9892,0.0,1,accepted
1-236817141,queued,265 days 19:42:11,2010-08-25 09:06:45+00:00,265.821,498.1682,0.0005,2,"accepted,queued"
1-236817141,accepted,498 days 04:01:33,2011-09-03 06:02:11+00:00,498.1677,0.0005,498.1682,3,"accepted,queued,accepted"
1-236817141,completed,0 days 00:00:42,2012-01-05 13:09:00+00:00,0.0005,0.0,763.9892,4,"accepted,queued,accepted,completed"
1-270399977,accepted,1173 days 01:28:33,2008-11-13 08:43:32+00:00,1173.0615,48.9267,-0.0,1,accepted
1-270399977,queued,17 days 03:40:11,2012-02-16 13:52:16+00:00,17.1529,31.7738,31.7614,2,"accepted,queued"
1-270399977,accepted,0 days 00:17:01,2012-02-16 14:09:17+00:00,0.0118,31.762,31.7617,3,"accepted,queued,accepted"
1-270399977,queued,0 days 00:00:26,2012-02-16 14:09:43+00:00,0.0003,31.7617,31.762,4,"accepted,queued,accepted,queued"
1-270399977,accepted,0 days 00:00:27,2012-02-16 14:10:10+00:00,0.0003,31.7614,31.7738,5,"accepted,queued,accepted,queued,accepted"
1-270399977,completed,31 days 18:16:22,2012-03-19 08:26:32+00:00,31.7614,-0.0,48.9267,6,"accepted,queued,accepted,queued,accepted,completed"
