,CaseID
0,6121876/2020
1,6130131/2020
2,6130476/2020
3,6130875/2020
4,6141273/2020
5,6143098/2020
6,6143527/2020
7,6152925/2020
8,6156360/2020
9,6176204/2020
10,6184240/2020
11,6184886/2020
12,6212570/2020
13,6213959/2020
14,6215803/2020
15,6219485/2020
16,6224594/2020
17,6225132/2020
18,6243300/2020
19,6251001/2020
20,6251761/2020
21,6263530/2020
22,6266599/2020
23,6268400/2020
24,6269180/2020
25,6269202/2020
26,6269857/2020
27,6284503/2020
28,6303494/2020
29,6345456/2020
30,6347904/2020
31,6349354/2020
32,6349672/2020
33,6350425/2020
34,6353092/2020
35,6353106/2020
36,6353548/2020
37,6368545/2020
38,6380863/2020
39,6387892/2020
40,6388384/2020
41,6388392/2020
42,6394589/2020
43,6399831/2020
44,6402034/2020
45,6406692/2020
46,6413702/2020
47,6438322/2020
48,6438357/2020
49,6467837/2020
50,6472563/2020
51,6484740/2020
52,6485240/2020
53,6490324/2020
54,6490880/2020
55,6492424/2020
56,6492637/2020
57,6493650/2020
58,6494435/2020
59,6500397/2020
60,6506492/2020
61,6508380/2020
62,6513952/2020
63,6533325/2020
64,6534429/2020
65,6553776/2020
66,6558808/2020
67,6559766/2020
68,6562287/2020
69,6573904/2020
70,6577519/2020
71,6590485/2020
72,6590655/2020
73,6593077/2020
74,6604168/2020
75,6604877/2020
76,6604907/2020
77,6617928/2020
78,6629748/2020
79,6636515/2020
80,6641071/2020
81,6646472/2020
82,6647061/2020
83,6660866/2020
84,6665434/2020
85,6688957/2020
86,6699720/2020
87,6709490/2020
88,6710898/2020
89,6713943/2020
90,6716845/2020
91,6718392/2020
92,6721172/2020
93,6721946/2020
94,6731950/2020
95,6731992/2020
96,6746027/2020
97,6750121/2020
98,6750580/2020
99,6755450/2020
100,6756537/2020
101,6765358/2020
102,6770661/2020
103,6793955/2020
104,6794307/2020
105,6801338/2020
106,6807646/2020
107,6811376/2020
108,6811392/2020
109,6834651/2020
110,6836077/2020
111,6838754/2020
112,6839610/2020
113,6841950/2020
114,6845092/2020
115,6854091/2020
116,6857058/2020
117,6860717/2020
118,6861101/2020
119,6861225/2020
120,6861365/2020
121,6873460/2020
122,6875153/2020
123,6876613/2020
124,6887488/2020
125,6888654/2020
126,6890373/2020
127,6898188/2020
128,6902070/2020
129,6903394/2020
130,6906806/2020
131,6908094/2020
132,6908310/2020
133,6908507/2020
134,6927943/2020
135,6940885/2020
136,6944066/2020
137,6945011/2020
138,6958717/2020
139,6965934/2020
140,6971721/2020
141,6977320/2020
142,6981310/2020
143,6982219/2020
144,6993270/2020
145,7017088/2020
146,7017355/2020
147,7046428/2020
148,7048943/2020
149,7059341/2020
150,7059864/2020
151,7066259/2020
152,7069347/2020
153,7069622/2020
154,7070108/2020
155,7070329/2020
156,7070523/2020
157,7080731/2020
158,7082068/2020
159,7088627/2020
160,7095437/2020
161,7099289/2020
162,7099521/2020
163,7099610/2020
164,7099718/2020
165,7099904/2020
166,7100066/2020
167,7100929/2020
168,7101437/2020
169,7105017/2020
170,7105416/2020
171,7106102/2020
172,7110223/2020
173,7113850/2020
174,7118054/2020
175,7118283/2020
176,7118330/2020
177,7118372/2020
178,7127746/2020
179,7130143/2020
180,7139485/2020
181,7139795/2020
182,7147534/2020
183,7156010/2020
184,7156088/2020
185,7156258/2020
186,7175759/2020
187,7223362/2020
188,7229409/2020
189,7274501/2020
190,7280242/2020
191,7284540/2020
192,7291953/2020
193,7295185/2020
194,7296122/2020
195,7315925/2020
196,7315984/2020
197,7317022/2020
198,7340466/2020
199,7344178/2020
200,7348203/2020
201,7355463/2020
202,7364578/2020
203,7365019/2020
204,7375847/2020
205,7380905/2020
206,7380948/2020
207,7380999/2020
208,7381286/2020
209,7381359/2020
210,7381367/2020
211,7387870/2020
212,7389139/2020
213,7389678/2020
214,7389686/2020
215,7392431/2020
216,7392636/2020
217,7395465/2020
218,7395490/2020
219,7406807/2020
220,7421113/2020
221,7438199/2020
222,7438296/2020
223,7438318/2020
224,7455239/2020
225,7464637/2020
226,7469400/2020
227,7489222/2020
228,7494412/2020
229,7496830/2020
230,7503233/2020
231,7506003/2020
232,7520871/2020
233,7521878/2020
234,7525296/2020
235,7529569/2020
236,7535402/2020
237,7537057/2020
238,7557333/2020
239,7563635/2020
240,7576150/2020
241,7585140/2020
242,7588387/2020
243,7588689/2020
244,7609210/2020
245,7617204/2020
246,7622810/2020
247,7624413/2020
248,7624987/2020
249,7625827/2020
250,7625886/2020
251,7630430/2020
252,7635890/2020
253,7648991/2020
254,7649190/2020
255,7649955/2020
256,7653367/2020
257,7654460/2020
258,7656005/2020
259,7657168/2020
260,7666060/2020
261,7675255/2020
262,7675360/2020
263,7675859/2020
264,7689868/2020
265,7692230/2020
266,7692800/2020
267,7697160/2020
268,7701116/2020
269,7704786/2020
270,7709117/2020
271,7711731/2020
272,7714641/2020
273,7715150/2020
274,7721575/2020
275,7721877/2020
276,7722148/2020
277,7722237/2020
278,7737587/2020
279,7738427/2020
280,7743080/2020
281,7746420/2020
282,7752152/2020
283,7753205/2020
284,7755470/2020
285,7764797/2020
286,7766480/2020
287,7767028/2020
288,7768326/2020
289,7768741/2020
290,7768776/2020
291,7769349/2020
292,7769977/2020
293,7785328/2020
294,7786715/2020
295,7787908/2020
296,7789315/2020
297,7791174/2020
298,7792545/2020
299,7793444/2020
300,7795650/2020
301,7797172/2020
302,7797199/2020
303,7799183/2020
304,7799523/2020
305,7800092/2020
306,7802249/2020
307,7803776/2020
308,7805400/2020
309,7806090/2020
310,7807089/2020
311,7812180/2020
312,7812244/2020
313,7816584/2020
314,7818099/2020
315,7819460/2020
316,7823564/2020
317,7835910/2020
318,7837875/2020
319,7844391/2020
320,7852165/2020
321,7864490/2020
322,7866930/2020
323,7867561/2020
324,7868096/2020
325,7868576/2020
326,7885837/2020
327,7893333/2020
328,7894151/2020
329,7895549/2020
330,7911528/2020
331,7913539/2020
332,7914128/2020
333,7917062/2020
334,7936075/2020
335,7942342/2020
336,7971121/2020
337,7986307/2020
338,7989888/2020
339,7989993/2020
340,7996884/2020
341,7997910/2020
342,7998623/2020
343,7999093/2020
344,8005059/2020
345,8006500/2020
346,8018517/2020
347,8023286/2020
348,8024363/2020
349,8031696/2020
350,8036817/2020
351,8040237/2020
352,8058420/2020
353,8060700/2020
354,8064357/2020
355,8067925/2020
356,8068883/2020
357,8068980/2020
358,8069049/2020
359,8078757/2020
360,8083742/2020
361,8095503/2020
362,8096801/2020
363,8101686/2020
364,8103425/2020
365,8103620/2020
366,8104812/2020
367,8105908/2020
368,8106262/2020
369,8106432/2020
370,8111231/2020
371,8111436/2020
372,8111479/2020
373,8111568/2020
374,8111770/2020
375,8118619/2020
376,8126026/2020
377,8127090/2020
378,8129661/2020
379,8131437/2020
380,8132786/2020
381,8147090/2020
382,8147279/2020
383,8147465/2020
384,8147554/2020
385,8147651/2020
386,8149018/2020
387,8150440/2020
388,8189699/2020
389,8220391/2020
390,8223021/2020
391,8248920/2020
392,8249179/2020
393,8251980/2020
394,8289111/2020
395,8295235/2020
396,8306636/2020
397,8308566/2020
398,8311311/2020
399,8315171/2020
400,8333390/2020
401,8342527/2020
402,8365314/2020
403,8366183/2020
404,8373090/2020
405,8373201/2020
406,8373317/2020
407,8373503/2020
408,8392206/2020
409,8399529/2020
410,8414188/2020
411,8415320/2020
412,8430329/2020
413,8431333/2020
414,8436408/2020
415,8441428/2020
416,8441487/2020
417,8441525/2020
418,8455585/2020
419,8458789/2020
420,8470843/2020
421,8470932/2020
422,8471017/2020
423,8471106/2020
424,8481497/2020
425,8483112/2020
426,8488548/2020
427,8494629/2020
428,8497792/2020
429,8503105/2020
430,8513615/2020
431,8513810/2020
432,8514093/2020
433,8514220/2020
434,8516070/2020
435,8528957/2020
436,8533586/2020
437,8551568/2020
438,8569785/2020
439,8588119/2020
440,8602715/2020
441,8603193/2020
442,8603207/2020
443,8611226/2020
444,8611528/2020
445,8620667/2020
446,8625189/2020
447,8633610/2020
448,8643616/2020
449,8645570/2020
450,8653050/2020
451,8661754/2020
452,8673795/2020
453,8674910/2020
454,8675550/2020
455,8691084/2020
456,8694229/2020
457,8704240/2020
458,8704739/2020
459,8704780/2020
460,8709765/2020
461,8716540/2020
462,8716605/2020
463,8719850/2020
464,8727461/2020
465,8730942/2020
466,8737106/2020
467,8737122/2020
468,8737572/2020
469,8743912/2020
470,8753152/2020
471,8754256/2020
472,8754736/2020
473,8756160/2020
474,8759959/2020
475,8763115/2020
476,8793626/2020
477,8794940/2020
478,8804539/2020
479,8806299/2020
480,8807490/2020
481,8814496/2020
482,8814887/2020
483,8823908/2020
484,8826001/2020
485,8849222/2020
486,8874243/2020
487,8874545/2020
488,8874758/2020
489,8885199/2020
490,8886381/2020
491,8887949/2020
492,8893515/2020
493,8894295/2020
494,8895852/2020
495,8896204/2020
496,8896336/2020
497,8903103/2020
498,8904312/2020
499,8906226/2020
500,8908164/2020
501,8917570/2020
502,8922647/2020
503,8923023/2020
504,8923198/2020
505,8929773/2020
506,8935684/2020
507,8937512/2020
508,8942419/2020
509,8942800/2020
510,8956126/2020
511,8969120/2020
512,8982917/2020
513,8996730/2020
514,9001162/2020
515,9004293/2020
516,9006458/2020
517,9011079/2020
518,9011915/2020
519,9011923/2020
520,9012563/2020
521,9012857/2020
522,9021392/2020
523,9023611/2020
524,9036497/2020
525,9036535/2020
526,9036608/2020
527,9036659/2020
528,9042446/2020
529,9050660/2020
530,9051143/2020
531,9051429/2020
532,9086001/2020
533,9086036/2020
534,9110484/2020
535,9119260/2020
536,9131147/2020
537,9158711/2020
538,9160066/2020
539,9164894/2020
540,9170380/2020
541,9171084/2020
542,9182876/2020
543,9187975/2020
544,9188980/2020
545,9194130/2020
546,9198349/2020
547,9233357/2020
548,9234620/2020
549,9234744/2020
550,9235171/2020
551,9239126/2020
552,9239630/2020
553,9241651/2020
554,9242674/2020
555,9252262/2020
556,9255598/2020
557,9258767/2020
558,9267260/2020
559,9285128/2020
560,9285438/2020
561,9295603/2020
562,9297673/2020
563,9298270/2020
564,9298734/2020
565,9299846/2020
566,9313300/2020
567,9314268/2020
568,9334676/2020
569,9346330/2020
570,9349428/2020
571,9349444/2020
572,9356971/2020
573,9357218/2020
574,9390142/2020
575,9399654/2020
576,9407215/2020
577,9407258/2020
578,9415382/2020
579,9417857/2020
580,9421927/2020
581,9426805/2020
582,9431329/2020
583,9431434/2020
584,9431558/2020
585,9431698/2020
586,9433720/2020
587,9437157/2020
588,9451150/2020
589,9458286/2020
590,9466807/2020
591,9470944/2020
592,9475750/2020
593,9481814/2020
594,9481830/2020
595,9486166/2020
596,9493219/2020
597,9493243/2020
598,9511055/2020
599,9512612/2020
600,9513570/2020
601,9514569/2020
602,9522464/2020
603,9523134/2020
604,9524998/2020
605,9525293/2020
606,9525749/2020
607,9543631/2020
608,9553149/2020
609,9559902/2020
610,9561443/2020
611,9568464/2020
612,9573832/2020
613,9583536/2020
614,9588384/2020
615,9598150/2020
616,9601550/2020
617,9614920/2020
618,9617821/2020
619,9627363/2020
620,9629730/2020
621,9630283/2020
622,9646422/2020
623,9646902/2020
624,9651647/2020
625,9652015/2020
626,9658528/2020
627,9663076/2020
628,9671265/2020
629,9672814/2020
630,9677093/2020
631,9686963/2020
632,9693145/2020
633,9695865/2020
634,9696632/2020
635,9696896/2020
636,9697663/2020
637,9709890/2020
638,9710325/2020
639,9711780/2020
640,9713200/2020
641,9714223/2020
642,9716226/2020
643,9722480/2020
644,9726205/2020
645,9731667/2020
646,9742626/2020
647,9781230/2020
648,9784655/2020
649,9784680/2020
650,9787735/2020
651,9793140/2020
652,9796149/2020
653,9797960/2020
654,9807779/2020
655,9808961/2020
656,9809747/2020
657,9814880/2020
658,9821194/2020
659,9830134/2020
660,9830258/2020
661,9830479/2020
662,9830789/2020
663,9831920/2020
664,9834687/2020
665,9834717/2020
666,9834733/2020
667,9834741/2020
668,9834768/2020
669,9834792/2020
670,9834806/2020
671,9843392/2020
672,9857539/2020
673,9859990/2020
674,9865272/2020
675,9865817/2020
676,9867933/2020
677,9868867/2020
678,9870608/2020
679,9872740/2020
680,9874808/2020
681,9877432/2020
682,9877572/2020
683,9878781/2020
684,9916241/2020
685,9922799/2020
686,9925771/2020
687,9926867/2020
688,9932158/2020
689,9938180/2020
690,9938830/2020
691,9950750/2020
692,9971587/2020
693,9972885/2020
694,9981230/2020
695,9989842/2020
696,9989869/2020
697,9994374/2020
698,9996717/2020
699,9999163/2020
700,9999210/2020
701,10001103/2020
702,10006520/2020
703,10006660/2020
704,10016038/2020
705,10019622/2020
706,10035083/2020
707,10041768/2020
708,10043680/2020
709,10047111/2020
710,10048290/2020
711,10049050/2020
712,10052824/2020
713,10057826/2020
714,10059608/2020
715,10062609/2020
716,10072540/2020
717,10082154/2020
718,10083266/2020
719,10105260/2020
720,10105278/2020
721,10106517/2020
722,10126585/2020
723,10132429/2020
724,10144745/2020
725,10149011/2020
726,10152888/2020
727,10156549/2020
728,10158541/2020
729,10160619/2020
730,10169055/2020
731,10169713/2020
732,10170266/2020
733,10171246/2020
734,10171505/2020
