case:concept:name,concept:name,time:timestamp
02060847/2015,cecon-protocolizado,2015-04-08 14:40:35
02060847/2015,cecon-distribuído,2015-04-08 14:40:36
02060847/2015,cecon-documentoassinadopelocontribuinte,2015-05-08 16:22:45
02060847/2015,cecon-despachoassinado,2015-05-21 16:28:16
02060847/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-05-21 16:40:08
02060847/2015,orientacaocecon-analisado,2015-05-22 16:42:53
02060847/2015,cecon-aguardandociênciadocontribuinte,2015-05-22 16:42:58
02060847/2015,cecon-ciente,2015-05-25 10:38:33
02060847/2015,cecon-arquivado,2015-07-13 15:14:13
02158618/2015,cecon-protocolizado,2015-04-14 11:00:56
02158618/2015,cecon-distribuído,2015-04-14 11:00:58
02158618/2015,cecon-despachoassinado,2015-05-06 15:46:02
02158618/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-05-06 15:46:25
02158618/2015,cecon-documentoassinadopelocontribuinte,2015-05-15 12:32:45
02158618/2015,cecon-regimeespecialdetributaçãoassinado,2015-05-18 11:09:00
02158618/2015,ceges-aguardandoassinaturadoorientador,2015-05-18 16:24:43
02158618/2015,ceges-regimeespecialdetributaçãoassinado,2015-05-22 16:55:00
02158618/2015,cecon-aguardandoanálisedoconsultoria,2015-05-22 16:55:07
02158618/2015,cecon-atodeaprovaçãoassinado,2015-05-25 09:33:01
02158618/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-05-25 09:33:12
02158618/2015,orientacaocecon-analisado,2015-05-26 15:21:23
02158618/2015,cecon-aguardandoprovidências,2015-05-26 15:21:30
02158618/2015,cecon-analisado,2015-06-01 09:52:33
02158618/2015,cecon-atodeaprovaçãoassinado,2015-06-01 10:02:34
02158618/2015,cotri-aguardandoassinaturadocoordenador,2015-06-01 10:05:04
02158618/2015,cotri-atodeaprovaçãoassinado,2015-06-03 15:37:47
02158618/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-06-03 16:37:57
02158618/2015,orientacaocecon-atodeaprovaçãoassinado,2015-06-09 10:38:28
02158618/2015,cotri-aguardandoassinaturadocoordenador,2015-06-09 10:39:11
02158618/2015,cotri-atodeaprovaçãoassinado,2015-06-10 15:41:26
02158618/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-06-10 15:42:08
02158618/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-06-19 21:15:44
02158618/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-06-22 08:50:08
02158618/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-06-23 11:37:12
02158618/2015,cecon-aguardandoprovidências,2015-06-23 11:37:30
02158618/2015,cecon-arquivado,2015-06-23 11:38:14
02182500/2015,cecon-protocolizado,2015-04-14 21:32:48
02182500/2015,cecon-distribuído,2015-04-14 21:32:49
