,CaseID
0,03081113/2020
1,03082730/2020
2,03092760/2020
3,03092956/2020
4,03100690/2020
5,03105730/2020
6,03106957/2020
7,03108313/2020
8,03108348/2020
9,03116227/2020
10,03116782/2020
11,03123363/2020
12,03128098/2020
13,03128624/2020
14,03155974/2020
15,03161028/2020
16,03166917/2020
17,03180383/2020
18,03214202/2020
19,03216264/2020
20,03223422/2020
21,03238632/2020
22,03251183/2020
23,03267799/2020
24,03272156/2020
25,03283379/2020
26,03284138/2020
27,03293463/2020
28,03294400/2020
29,03294761/2020
30,03299909/2020
31,03301180/2020
32,03301822/2020
33,03305720/2020
34,03308193/2020
35,03342162/2020
36,03352931/2020
37,03354632/2020
38,03356074/2020
39,03369842/2020
40,03371243/2020
41,03383934/2020
42,03398540/2020
43,03398664/2020
44,03399431/2020
45,03406357/2020
46,03427605/2020
47,03429969/2020
48,03433443/2020
49,03444950/2020
50,03447304/2020
51,03455811/2020
52,03459817/2020
53,03465078/2020
54,03465582/2020
55,03469022/2020
56,03482819/2020
57,03485214/2020
58,03486571/2020
59,03486806/2020
60,03491699/2020
61,03499690/2020
62,03500299/2020
63,03501163/2020
64,03503662/2020
65,03503913/2020
66,03519968/2020
67,03524368/2020
68,03527677/2020
69,03530430/2020
70,03530660/2020
71,03531135/2020
72,03534185/2020
73,03553260/2020
74,03554313/2020
75,03558351/2020
76,03583623/2020
77,03589443/2020
78,03592495/2020
79,03594170/2020
80,03595281/2020
81,03596792/2020
82,03611201/2020
83,03614677/2020
84,03614790/2020
85,03614804/2020
86,03629119/2020
87,03630575/2020
88,03632780/2020
89,03637448/2020
90,03637880/2020
91,03641283/2020
92,03644045/2020
93,03649403/2020
94,03680971/2020
95,03686112/2020
96,03687887/2020
97,03691590/2020
98,03692600/2020
99,03709589/2020
100,03714000/2020
101,03716968/2020
102,03717808/2020
103,03719665/2020
104,03727552/2020
105,03728214/2020
106,03731681/2020
107,03740117/2020
108,03746522/2020
109,03791552/2020
110,03792168/2020
111,03793644/2020
112,03826950/2020
113,03832887/2020
114,03834855/2020
115,03848074/2020
116,03848163/2020
117,03855615/2020
118,03865793/2020
119,03883287/2020
120,03883678/2020
121,03886979/2020
122,03891310/2020
123,03896699/2020
124,03898330/2020
125,03901862/2020
126,03912406/2020
127,03920905/2020
128,03923971/2020
129,03924870/2020
130,03927578/2020
131,03928175/2020
132,03932415/2020
133,03948567/2020
134,03952521/2020
135,03955881/2020
136,03956896/2020
137,03963060/2020
138,03992884/2020
139,03994356/2020
140,03995999/2020
141,04014290/2020
142,04019071/2020
143,04028690/2020
144,04030539/2020
145,04036839/2020
146,04044050/2020
147,04045862/2020
148,04045919/2020
149,04046877/2020
150,04056180/2020
151,04056996/2020
152,04057747/2020
153,04059227/2020
154,04059839/2020
155,04062309/2020
156,04062678/2020
157,04063623/2020
158,04066177/2020
159,04067823/2020
160,04069729/2020
161,04070077/2020
162,04076725/2020
163,04079880/2020
164,04082393/2020
165,04091635/2020
166,04091686/2020
167,04114830/2020
168,04117332/2020
169,04126005/2020
170,04127389/2020
171,04130231/2020
172,04146227/2020
173,04147649/2020
174,04147720/2020
175,04148319/2020
176,04148580/2020
177,04149773/2020
178,04157881/2020
179,04158730/2020
180,04162478/2020
181,04169103/2020
182,04169960/2020
183,04170101/2020
184,04183742/2020
185,04184706/2020
186,04185605/2020
187,04186067/2020
188,04186130/2020
189,04187578/2020
190,04202330/2020
191,04203166/2020
192,04204650/2020
193,04208311/2020
194,04209679/2020
195,04209792/2020
196,04211711/2020
197,04214036/2020
198,04214613/2020
199,04214621/2020
200,04215032/2020
201,04217973/2020
202,04242200/2020
203,04244083/2020
204,04245144/2020
205,04245616/2020
206,04256391/2020
207,04257177/2020
208,04257533/2020
209,04274594/2020
210,04278271/2020
211,04279332/2020
212,04280004/2020
213,04281787/2020
214,04287645/2020
215,04300536/2020
216,04301214/2020
217,04305015/2020
218,04310825/2020
219,04322149/2020
220,04322157/2020
221,04328350/2020
222,04333663/2020
223,04335569/2020
224,04349705/2020
225,04372944/2020
226,04374823/2020
227,04377890/2020
228,04381765/2020
229,04382389/2020
230,04387550/2020
231,04406431/2020
232,04407373/2020
233,04411672/2020
234,04416178/2020
235,04417662/2020
236,04419991/2020
237,04441997/2020
238,04442705/2020
239,04446140/2020
240,04450538/2020
241,04458407/2020
242,04466531/2020
243,04474232/2020
244,04475247/2020
245,04475417/2020
246,04476413/2020
247,04476545/2020
248,04476596/2020
249,04479463/2020
250,04488489/2020
251,04492290/2020
252,04495477/2020
253,04502520/2020
254,04504050/2020
255,04520579/2020
256,04521060/2020
257,04528766/2020
258,04528774/2020
259,04530302/2020
260,04539830/2020
261,04560988/2020
262,04565033/2020
263,04567788/2020
264,04574547/2020
265,04586138/2020
266,04593479/2020
267,04595765/2020
268,04597296/2020
269,04597369/2020
270,04599310/2020
271,04600661/2020
272,04601277/2020
273,04604403/2020
274,04604454/2020
275,04604519/2020
276,04612422/2020
277,04617505/2020
278,04618161/2020
279,04625818/2020
280,04628973/2020
281,04630242/2020
282,04637204/2020
283,04656179/2020
284,04663116/2020
285,04665810/2020
286,04667006/2020
287,04668479/2020
288,04670287/2020
289,04690636/2020
290,04697711/2020
291,04697940/2020
292,04698238/2020
293,04709990/2020
294,04728064/2020
295,04730441/2020
296,04733114/2020
297,04742814/2020
298,04743489/2020
299,04749274/2020
300,04750310/2020
301,04750680/2020
302,04751139/2020
303,04757978/2020
304,04759741/2020
305,04767388/2020
306,04769143/2020
307,04777774/2020
308,04783979/2020
309,04784282/2020
310,04792200/2020
311,04795225/2020
312,04798712/2020
313,04798950/2020
314,04802655/2020
315,04806375/2020
316,04815692/2020
317,04827305/2020
318,04827534/2020
319,04829120/2020
320,04829200/2020
321,04829359/2020
322,04832104/2020
323,04834808/2020
324,04834905/2020
325,04838188/2020
326,04844625/2020
327,04849236/2020
328,04849635/2020
329,04850064/2020
330,04861864/2020
331,04863298/2020
332,04865231/2020
333,04866173/2020
334,04870502/2020
335,04874540/2020
336,04877574/2020
337,04878279/2020
338,04878970/2020
339,04880117/2020
340,04886450/2020
341,04901610/2020
342,04914437/2020
343,04920011/2020
344,04920240/2020
345,04921760/2020
346,04922413/2020
347,04925773/2020
348,04926540/2020
349,04932320/2020
350,04936430/2020
351,04943194/2020
352,04950417/2020
353,04969606/2020
354,04976890/2020
355,04981568/2020
356,04983382/2020
357,04983412/2020
358,04984273/2020
359,04990664/2020
360,04992306/2020
361,04995437/2020
362,05005465/2020
363,05006593/2020
364,05008847/2020
365,05009711/2020
366,05011341/2020
367,05011562/2020
368,05012798/2020
369,05016246/2020
370,05018230/2020
371,05023897/2020
372,05027132/2020
373,05050819/2020
374,05053389/2020
375,05067878/2020
376,05069382/2020
377,05083806/2020
378,05086775/2020
379,05094638/2020
380,05105168/2020
381,05111613/2020
382,05112636/2020
383,05114388/2020
384,05114809/2020
385,05124391/2020
386,05143388/2020
387,05145160/2020
388,05146816/2020
389,05150236/2020
390,05150660/2020
391,05150864/2020
392,05151127/2020
393,05159551/2020
394,05161866/2020
395,05164555/2020
396,05168046/2020
397,05168410/2020
398,05170695/2020
399,05171446/2020
400,05174950/2020
401,05180569/2020
402,05181042/2020
403,05182294/2020
404,05184068/2020
405,05185030/2020
406,05188748/2020
407,05198573/2020
408,05201566/2020
409,05205693/2020
410,05210883/2020
411,05212720/2020
412,05212827/2020
413,05215842/2020
414,05218671/2020
415,05234065/2020
416,05234847/2020
417,05243390/2020
418,05245253/2020
419,05250648/2020
420,05257227/2020
421,05264126/2020
422,05270428/2020
423,05276051/2020
424,05278321/2020
425,05280709/2020
426,05280865/2020
427,05281187/2020
428,05286464/2020
429,05293347/2020
430,05295307/2020
431,05296281/2020
432,05296303/2020
433,05316126/2020
434,05327152/2020
435,05327292/2020
436,05338405/2020
437,05345010/2020
438,05353315/2020
439,05365348/2020
440,05367456/2020
441,05367790/2020
442,05374541/2020
443,05374703/2020
444,05375122/2020
445,05387309/2020
446,05396421/2020
447,05400062/2020
448,05402138/2020
449,05403061/2020
450,05404220/2020
451,05407210/2020
452,05407571/2020
453,05410319/2020
454,05416066/2020
455,05426274/2020
456,05427009/2020
457,05427475/2020
458,05428722/2020
459,05440480/2020
460,05442733/2020
461,05442776/2020
462,05446208/2020
463,05446330/2020
464,05450434/2020
465,05472470/2020
466,05472985/2020
467,05476832/2020
468,05478320/2020
469,05478487/2020
470,05485270/2020
471,05486137/2020
472,05487150/2020
473,05491726/2020
474,05492846/2020
475,05494512/2020
476,05513487/2020
477,05519116/2020
478,05519280/2020
479,05520211/2020
480,05521234/2020
481,05521889/2020
482,05523717/2020
483,05524144/2020
484,05524276/2020
485,05525981/2020
486,05526520/2020
487,05526767/2020
488,05529359/2020
489,05529685/2020
490,05529790/2020
491,05530209/2020
492,05539354/2020
493,05542908/2020
494,05544960/2020
495,05547730/2020
496,05549198/2020
497,05552423/2020
498,05552482/2020
499,05553675/2020
500,05554523/2020
501,05555112/2020
502,05561449/2020
503,05565851/2020
504,05569156/2020
505,05579402/2020
506,05580613/2020
507,05583817/2020
508,05585615/2020
509,05589220/2020
510,05589823/2020
511,05590236/2020
512,05595246/2020
513,05595300/2020
514,05595440/2020
515,05596510/2020
516,05602234/2020
517,05602242/2020
518,05606850/2020
519,05608399/2020
520,05609581/2020
521,05623576/2020
522,05625129/2020
523,05627695/2020
524,05628225/2020
525,05638123/2020
526,05638379/2020
527,05640012/2020
528,05641388/2020
529,05643585/2020
530,05644689/2020
531,05644751/2020
532,05645340/2020
533,05656334/2020
534,05656393/2020
535,05656407/2020
536,05659376/2020
537,05671244/2020
538,05677021/2020
539,05680219/2020
540,05680618/2020
541,05681304/2020
542,05682742/2020
543,05683765/2020
544,05684672/2020
545,05691571/2020
546,05692560/2020
547,05695062/2020
548,05695542/2020
549,05696808/2020
550,05706064/2020
551,05707753/2020
552,05712226/2020
553,05712820/2020
554,05717023/2020
555,05724690/2020
556,05727002/2020
557,05728122/2020
558,05728319/2020
559,05730038/2020
560,05732480/2020
561,05733436/2020
562,05736656/2020
563,05737016/2020
564,05749618/2020
565,05753070/2020
566,05753607/2020
567,05757211/2020
568,05758277/2020
569,05760026/2020
570,05763602/2020
571,05764625/2020
572,05766130/2020
573,05770579/2020
574,05772385/2020
575,05774663/2020
576,05775430/2020
577,05776224/2020
578,05777310/2020
579,05786726/2020
580,05786823/2020
581,05789687/2020
582,05791231/2020
583,05792890/2020
584,05796853/2020
585,05800184/2020
586,05802357/2020
587,05806646/2020
588,05807057/2020
589,05807715/2020
590,05812450/2020
591,05813898/2020
592,05815017/2020
593,05816722/2020
594,05820177/2020
595,05826906/2020
596,05833260/2020
597,05840437/2020
598,05841115/2020
599,05841743/2020
600,05842375/2020
601,05843096/2020
602,05844599/2020
603,05844610/2020
604,05847105/2020
605,05848535/2020
606,05850289/2020
607,05850564/2020
608,05850742/2020
609,05850998/2020
610,05852540/2020
611,05855914/2020
612,05856384/2020
613,05863747/2020
614,05864549/2020
615,05876997/2020
616,05880722/2020
617,05881737/2020
618,05884248/2020
619,05897455/2020
620,05901231/2020
621,05902246/2020
622,05908570/2020
623,05910230/2020
624,05910630/2020
625,05912217/2020
626,05912349/2020
627,05912730/2020
628,05920465/2020
629,05925467/2020
630,05926978/2020
631,05930347/2020
632,05932021/2020
633,05933257/2020
634,05935705/2020
635,05935969/2020
636,05938046/2020
637,05943899/2020
638,05944836/2020
639,05945182/2020
640,05951115/2020
641,05955153/2020
642,05959116/2020
643,05962451/2020
644,05962796/2020
645,05966937/2020
646,05968387/2020
647,05971973/2020
648,05975227/2020
649,05978463/2020
650,05982800/2020
651,05983033/2020
652,05984021/2020
653,05991605/2020
654,05992342/2020
655,05993551/2020
656,05999894/2020
657,06005140/2020
658,06005248/2020
659,06010438/2020
660,06010918/2020
661,06022169/2020
662,06023505/2020
663,06024625/2020
664,06025370/2020
665,06032814/2020
666,06057124/2020
667,06057850/2020
668,06061857/2020
669,06065984/2020
670,06067472/2020
