,CaseID
0,173688
1,173688
2,173688
3,173688
4,173688
5,173688
6,173688
7,173688
8,173688
9,173688
10,173688
11,173688
12,173688
13,173688
14,173688
15,173688
16,173688
17,173688
18,173688
19,173688
20,173688
21,173691
22,173691
23,173691
24,173691
25,173691
26,173691
27,173691
28,173691
29,173691
30,173691
31,173691
32,173691
33,173691
34,173691
35,173691
36,173691
37,173691
38,173691
39,173691
40,173691
41,173691
42,173691
43,173691
44,173691
45,173691
46,173691
47,173694
48,173694
49,173694
50,173694
51,173694
52,173694
53,173694
54,173694
55,173694
56,173694
57,173694
58,173694
59,173694
60,173694
61,173694
62,173694
63,173694
64,173694
65,173694
66,173694
67,173694
68,173694
69,173694
70,173694
71,173694
72,173694
73,173694
74,173694
75,173694
76,173694
77,173694
78,173694
79,173697
80,173697
81,173697
82,173700
83,173700
84,173700
85,173703
86,173703
87,173703
88,173703
89,173703
90,173703
91,173706
92,173706
93,173706
94,173706
95,173706
96,173706
97,173706
98,173706
99,173706
100,173709
101,173709
102,173709
103,173709
104,173709
105,173712
106,173712
107,173712
108,173712
109,173712
110,173712
111,173712
112,173712
113,173712
114,173715
115,173715
116,173715
117,173715
118,173715
119,173715
120,173715
121,173715
122,173715
123,173715
124,173715
125,173715
126,173715
127,173715
128,173715
129,173715
130,173715
131,173715
132,173715
133,173718
134,173718
135,173718
136,173718
137,173718
138,173718
139,173718
140,173718
141,173718
142,173718
143,173718
144,173718
145,173718
146,173718
147,173718
148,173718
149,173718
150,173718
151,173718
152,173718
153,173718
154,173718
155,173718
156,173718
157,173718
158,173718
159,173718
160,173718
161,173718
162,173718
163,173718
164,173718
165,173718
166,173718
167,173718
168,173718
169,173718
170,173718
171,173721
172,173721
173,173721
174,173721
175,173721
176,173721
177,173721
178,173721
179,173721
180,173721
181,173721
182,173721
183,173721
184,173721
185,173721
186,173721
187,173721
188,173721
189,173721
190,173721
191,173721
192,173721
193,173724
194,173724
195,173724
196,173724
197,173724
198,173724
199,173724
200,173724
201,173724
202,173727
203,173727
204,173727
205,173730
206,173730
207,173730
208,173730
209,173730
210,173730
211,173730
212,173730
213,173730
214,173730
215,173730
216,173730
217,173730
218,173730
219,173730
220,173730
221,173730
222,173730
223,173730
224,173730
225,173730
226,173730
227,173730
228,173730
229,173730
230,173730
231,173730
232,173730
233,173730
234,173730
235,173730
236,173730
237,173730
238,173730
239,173730
240,173730
241,173730
242,173730
243,173730
244,173733
245,173733
246,173733
247,173733
248,173733
249,173736
250,173736
251,173736
252,173736
253,173736
254,173736
255,173736
