case_id,prefix,k,time_passed,recent_time,latest_time,remaining_time_days
Case 37,resolve-ticket,0,0,0,0,51
Case 37,resolve-ticket resolve-ticket,1,19,0,19,31
Case 37,resolve-ticket resolve-ticket take-in-charge-ticket,2,19,19,0,31
Case 37,resolve-ticket resolve-ticket take-in-charge-ticket wait,3,19,0,0,31
Case 37,resolve-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,4,20,1,1,29
Case 37,resolve-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,20,1,0,29
Case 37,resolve-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,6,49,29,29,0
Case 1348,resolve-ticket,0,0,0,0,51
Case 1348,resolve-ticket closed,1,51,0,51,0
Case 1896,assign-seriousness,0,0,0,0,58
Case 1896,assign-seriousness take-in-charge-ticket,1,0,0,0,58
Case 1896,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,58
Case 1896,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,58,58,58,0
Case 1391,take-in-charge-ticket,0,0,0,0,15
Case 1391,take-in-charge-ticket resolve-ticket,1,0,0,0,15
Case 1391,take-in-charge-ticket resolve-ticket closed,2,15,15,15,0
Case 4094,assign-seriousness,0,0,0,0,49
Case 4094,assign-seriousness take-in-charge-ticket,1,3,0,3,46
Case 4094,assign-seriousness take-in-charge-ticket resolve-ticket,2,19,19,16,29
Case 4094,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,48,46,29,0
Case 4070,assign-seriousness,0,0,0,0,58
Case 4070,assign-seriousness take-in-charge-ticket,1,3,0,3,55
Case 4070,assign-seriousness take-in-charge-ticket resolve-ticket,2,3,3,0,55
Case 4070,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,58,55,55,0
Case 1404,assign-seriousness,0,0,0,0,51
Case 1404,assign-seriousness take-in-charge-ticket,1,0,0,0,51
Case 1404,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,51
Case 1404,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,51,51,51,0
Case 1265,assign-seriousness,0,0,0,0,47
Case 1265,assign-seriousness take-in-charge-ticket,1,0,0,0,47
Case 1265,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,46
