CaseID,Activity,Duration,Timestamp,Duration Float,Time to conclusion,Passed Time,Step,Prefix,Activity Cat
6121876/2020,cexatáguafria-aguardandodistribuição,0 days 00:00:00.002000,2020-08-10 14:41:24.281,0.0,10.8577,0.0,1,cexatáguafria-aguardandodistribuição,82
6121876/2020,cexatáguafria-distribuído,2 days 20:07:02.995000,2020-08-10 14:46:09.221,2.8382,8.0195,3.7968,2,"cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído",87
6121876/2020,cexatáguafria-aguardandoanálisedoprocesso,0 days 00:00:07.115000,2020-08-13 10:48:34.393,0.0001,8.0194,8.0194,3,"cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso",78
6121876/2020,cexatáguafria-processoanalisado,4 days 05:20:30.164000,2020-08-17 16:09:04.557,4.2226,3.7968,8.0195,4,"cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado",91
6121876/2020,cexatáguafria-arquivado,3 days 19:07:24.437000,2020-08-21 11:16:28.994,3.7968,0.0,10.8577,5,"cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado,cexatáguafria-arquivado",86
6130131/2020,cexatjuazeirodonorte-aguardandodistribuição,0 days 00:00:00.002000,2020-08-10 16:32:08.198,0.0,59.7448,-0.0,1,cexatjuazeirodonorte-aguardandodistribuição,44
6130131/2020,cexatjuazeirodonorte-distribuído,0 days 00:04:09.365000,2020-08-10 16:36:17.565,0.0029,59.7419,0.0004,2,"cexatjuazeirodonorte-aguardandodistribuição,cexatjuazeirodonorte-distribuído",46
6130131/2020,nuatmjuazeirodonorte-aguardandoanálisedoprocesso,1 days 18:16:05.435000,2020-08-12 10:52:23.000,1.7612,57.9807,57.9807,3,"cexatjuazeirodonorte-aguardandodistribuição,cexatjuazeirodonorte-distribuído,nuatmjuazeirodonorte-aguardandoanálisedoprocesso",251
6130131/2020,nuatmjuazeirodonorte-providenciado,57 days 23:31:35.864000,2020-10-09 10:23:58.864,57.9803,0.0004,59.7419,4,"cexatjuazeirodonorte-aguardandodistribuição,cexatjuazeirodonorte-distribuído,nuatmjuazeirodonorte-aguardandoanálisedoprocesso,nuatmjuazeirodonorte-providenciado",259
6130131/2020,nuatmjuazeirodonorte-arquivado,0 days 00:00:33.437000,2020-10-09 10:24:32.301,0.0004,-0.0,59.7448,5,"cexatjuazeirodonorte-aguardandodistribuição,cexatjuazeirodonorte-distribuído,nuatmjuazeirodonorte-aguardandoanálisedoprocesso,nuatmjuazeirodonorte-providenciado,nuatmjuazeirodonorte-arquivado",255
6130476/2020,cexatáguafria-aguardandodistribuição,0 days 00:00:00.002000,2020-08-10 16:36:54.234,0.0,21.0116,0.0,1,cexatáguafria-aguardandodistribuição,82
6130476/2020,cexatáguafria-distribuído,3 days 04:01:22.972000,2020-08-10 16:41:10.158,3.1676,17.844,14.1944,2,"cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído",87
6130476/2020,cexatáguafria-aguardandoanálisedoprocesso,0 days 00:00:05.716000,2020-08-13 20:38:22.924,0.0001,17.8439,17.8439,3,"cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso",78
6130476/2020,cexatáguafria-processoanalisado,3 days 15:35:18.548000,2020-08-17 12:13:41.472,3.6495,14.1944,17.844,4,"cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado",91
6130476/2020,cexatáguafria-arquivado,14 days 04:39:58.319000,2020-08-31 16:53:39.791,14.1944,0.0,21.0116,5,"cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado,cexatáguafria-arquivado",86
6130875/2020,cexatáguafria-aguardandodistribuição,0 days 00:00:00.002000,2020-08-10 16:45:47.727,0.0,66.757,0.0,1,cexatáguafria-aguardandodistribuição,82
6130875/2020,cexatáguafria-distribuído,0 days 17:27:21.565000,2020-08-10 16:46:08.595,0.7273,66.0297,0.0005,2,"cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído",87
