CaseID,Activity,Duration,Timestamp,Duration Float,Time to conclusion,Passed Time,Step,Prefix
Case 3608,assignseriousness,0 days 00:00:00,2010-01-13 08:40:25,0.0,31.0087,0.0,1,assignseriousness
Case 3608,takeinchargeticket,16 days 00:12:02,2010-01-29 08:52:27,16.0084,15.0003,15.0002,2,"assignseriousness,takeinchargeticket"
Case 3608,resolveticket,0 days 00:00:07,2010-01-29 08:52:34,0.0001,15.0002,15.0003,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 3608,closed,15 days 00:00:14,2010-02-13 08:52:48,15.0002,0.0,31.0087,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 2748,assignseriousness,0 days 00:00:00,2010-01-13 12:26:04,0.0,30.9822,0.0,1,assignseriousness
Case 2748,takeinchargeticket,5 days 21:00:01,2010-01-19 09:26:05,5.875,25.1072,25.1053,2,"assignseriousness,takeinchargeticket"
Case 2748,resolveticket,0 days 00:02:45,2010-01-19 09:28:50,0.0019,25.1053,25.1072,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 2748,closed,25 days 02:31:38,2010-02-13 12:00:28,25.1053,0.0,30.9822,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 4284,assignseriousness,14 days 01:00:34,2010-01-13 12:30:37,14.0421,37.1046,-0.0,1,assignseriousness
Case 4284,takeinchargeticket,0 days 00:00:07,2010-01-27 13:31:18,0.0001,37.1045,37.0016,2,"assignseriousness,takeinchargeticket"
Case 4284,resolveticket,0 days 00:00:06,2010-01-27 13:31:24,0.0001,37.1044,37.0017,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 4284,takeinchargeticket,0 days 02:27:50,2010-01-27 15:59:14,0.1027,37.0017,37.1044,4,"assignseriousness,takeinchargeticket,resolveticket,takeinchargeticket"
Case 4284,resolveticket,0 days 00:00:09,2010-01-27 15:59:23,0.0001,37.0016,37.1045,5,"assignseriousness,takeinchargeticket,resolveticket,takeinchargeticket,resolveticket"
Case 4284,closed,37 days 00:02:14,2010-02-11 15:59:39,37.0016,-0.0,37.1046,6,"assignseriousness,takeinchargeticket,resolveticket,takeinchargeticket,resolveticket,closed"
Case 1534,assignseriousness,0 days 00:00:00,2010-01-13 13:09:31,0.0,31.0007,0.0,1,assignseriousness
Case 1534,takeinchargeticket,12 days 20:41:17,2010-01-26 09:50:48,12.862,18.1387,18.1386,2,"assignseriousness,takeinchargeticket"
Case 1534,resolveticket,0 days 00:00:07,2010-01-26 09:50:55,0.0001,18.1386,18.1387,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1534,closed,18 days 03:19:32,2010-02-13 13:10:27,18.1386,0.0,31.0007,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 406,assignseriousness,0 days 00:00:13,2010-01-13 17:25:25,0.0002,30.9835,0.0,1,assignseriousness
Case 406,takeinchargeticket,0 days 18:16:53,2010-01-14 11:42:31,0.7617,30.2218,30.2217,2,"assignseriousness,takeinchargeticket"
Case 406,resolveticket,0 days 00:00:06,2010-01-14 11:42:37,0.0001,30.2217,30.2218,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 406,closed,30 days 05:19:17,2010-02-13 17:01:54,30.2217,0.0,30.9835,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 4539,assignseriousness,0 days 00:00:14,2010-01-14 09:10:48,0.0002,51.0108,0.0,1,assignseriousness
Case 4539,takeinchargeticket,6 days 00:04:18,2010-01-20 09:15:20,6.003,45.0078,45.0003,2,"assignseriousness,takeinchargeticket"
Case 4539,resolveticket,0 days 00:10:45,2010-01-20 09:26:05,0.0075,45.0003,45.0078,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 4539,closed,45 days 00:00:27,2010-03-06 09:26:32,45.0003,0.0,51.0108,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 2118,assignseriousness,0 days 00:00:00,2010-01-14 09:52:50,0.0,33.9945,0.0,1,assignseriousness
Case 2118,takeinchargeticket,26 days 05:08:21,2010-02-09 15:01:11,26.2141,7.7804,0.0001,2,"assignseriousness,takeinchargeticket"
Case 2118,resolveticket,7 days 18:43:42,2010-02-17 09:44:53,7.7803,0.0001,7.7804,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 2118,closed,0 days 00:00:06,2010-02-17 09:44:59,0.0001,0.0,33.9945,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 3625,assignseriousness,0 days 00:00:19,2010-01-14 10:35:38,0.0002,44.0169,0.0,1,assignseriousness
Case 3625,takeinchargeticket,18 days 01:07:34,2010-02-01 11:43:31,18.0469,25.97,15.0002,2,"assignseriousness,takeinchargeticket"
Case 3625,resolveticket,10 days 23:16:30,2010-02-12 11:00:01,10.9698,15.0002,25.97,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 3625,closed,15 days 00:00:16,2010-02-27 11:00:17,15.0002,0.0,44.0169,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1621,assignseriousness,0 days 00:00:00,2010-01-15 17:11:07,0.0,31.6388,-0.0,1,assignseriousness
Case 1621,takeinchargeticket,16 days 15:05:19,2010-02-01 08:16:26,16.6287,15.0101,15.0003,2,"assignseriousness,takeinchargeticket"
Case 1621,resolveticket,0 days 00:14:07,2010-02-01 08:30:33,0.0098,15.0003,15.0101,3,"assignseriousness,takeinchargeticket,resolveticket"
