,identificacao,activity,number_steps_x,Unnamed: 0,CompleteTimestamp,timestamp,number_steps_y,is_first_step,timestamp_shift,duracao,tempo_restante_conclusao,tempo_passado,day,month,year,day_of_week,is_weekend,quarter,is_quarter_end,hour,minute,second,steps,activity_cat
0,1077,8,4,3153,2010-09-09 18:02:08,2010-09-09 18:02:08,4,0,2010-09-09 18:18:11,0.0111458333333333,7.117708333333333,0.0111458333333329,9,9,2010,3,0,3,0,18,2,8,4,7
1,1288,8,6,3801,2011-04-27 18:30:33,2011-04-27 18:30:33,6,1,2011-04-28 18:35:57,1.00375,5.950150462962964,0.0,27,4,2011,2,0,2,0,18,30,33,6,7
2,1288,8,6,3803,2011-04-28 18:37:57,2011-04-28 18:37:57,6,0,2011-04-28 18:38:05,9.25925925925926e-05,5.949467592592593,9.2592592592311e-05,28,4,2011,3,0,2,0,18,37,57,6,7
3,1288,8,6,3805,2011-05-03 17:17:47,2011-05-03 17:17:47,6,0,2011-05-03 17:18:46,0.0006828703703703,4.946400462962964,0.0013888888888891,3,5,2011,1,0,2,0,17,17,47,6,7
4,734,6,3,2085,2010-08-03 20:23:10,2010-08-03 20:23:10,3,0,0 days 00:00:00,0.0,0.1287268518518516,0.1287268518518516,3,8,2010,1,0,3,0,20,23,10,3,5
5,1824,1,3,5424,2012-01-10 01:19:22,2012-01-10 01:19:22,3,1,2012-01-10 17:51:08,0.6887268518518519,0.6887268518518519,0.0,10,1,2012,1,0,1,0,1,19,22,3,0
6,3295,8,5,9816,2011-02-26 00:21:42,2011-02-26 00:21:42,5,0,2011-02-26 00:21:50,9.25925925925926e-05,10.044791666666669,0.0,26,2,2011,5,1,1,0,0,21,42,5,7
7,3295,8,5,9818,2011-03-08 01:25:54,2011-03-08 01:25:54,5,0,2011-03-08 01:26:02,9.25925925925926e-05,10.044675925925926,9.2592592592311e-05,8,3,2011,1,0,1,0,1,25,54,5,7
8,2737,6,3,8153,2011-11-11 19:10:53,2011-11-11 19:10:53,3,0,0 days 00:00:00,0.0,0.0846412037037036,0.0846412037037036,11,11,2011,4,0,4,0,19,10,53,3,5
9,783,8,3,2239,2012-07-09 20:33:08,2012-07-09 20:33:08,3,0,2012-07-10 17:04:54,0.8553935185185185,5.175983796296296,0.0,9,7,2012,0,0,3,0,20,33,8,3,7
10,571,1,5,1585,2011-05-10 18:41:18,2011-05-10 18:41:18,5,1,2011-05-11 21:53:50,1.1337037037037037,41.96157407407407,0.0,10,5,2011,1,0,2,0,18,41,18,5,0
11,2053,9,8,6131,2010-06-22 23:17:45,2010-06-22 23:17:45,8,0,2010-06-28 21:01:40,5.9054976851851855,23.23039351851852,0.0004976851851843,22,6,2010,1,0,2,0,23,17,45,8,8
12,2053,9,8,6133,2010-06-28 21:35:02,2010-06-28 21:35:02,8,0,2010-07-14 23:00:58,16.059675925925927,21.99241898148148,0.0231712962962973,28,6,2010,0,0,2,0,21,35,2,8,8
13,1331,8,3,3912,2011-12-09 18:38:22,2011-12-09 18:38:22,3,0,2011-12-14 18:09:36,4.980023148148148,4.980023148148148,0.0,9,12,2011,4,0,4,0,18,38,22,3,7
14,3847,8,4,11449,2012-05-22 17:49:04,2012-05-22 17:49:04,4,0,2012-05-22 22:46:51,0.2067939814814814,1.5530208333333335,0.0,22,5,2012,1,0,2,0,17,49,4,4,7
15,1248,8,5,3686,2012-01-02 17:52:16,2012-01-02 17:52:16,5,0,2012-01-11 22:50:22,9.20701388888889,19.94004629629629,0.0,2,1,2012,0,0,1,0,17,52,16,5,7
16,1864,1,3,5544,2010-10-01 20:38:26,2010-10-01 20:38:26,3,1,2010-10-04 15:17:17,2.7769791666666666,4.7921759259259264,0.0,1,10,2010,4,0,4,0,20,38,26,3,0
17,1593,6,3,4719,2010-09-21 16:51:40,2010-09-21 16:51:40,3,0,0 days 00:00:00,0.0,9.011666666666668,9.011666666666668,21,9,2010,1,0,3,0,16,51,40,3,5
18,1630,8,3,4837,2012-08-21 17:25:01,2012-08-21 17:25:01,3,0,2012-08-21 23:57:01,0.2722222222222222,21.95230324074074,0.0,21,8,2012,1,0,3,0,17,25,1,3,7
19,4328,6,3,12941,2012-07-26 21:23:24,2012-07-26 21:23:24,3,0,0 days 00:00:00,0.0,2.256631944444445,2.2566319444444445,26,7,2012,3,0,3,0,21,23,24,3,5
20,3768,9,7,11179,2011-02-14 20:18:45,2011-02-14 20:18:45,7,0,2011-02-23 19:34:03,8.968958333333333,25.0271875,0.0003240740740757,14,2,2011,0,0,1,0,20,18,45,7,8
21,3768,9,7,11181,2011-03-08 20:14:03,2011-03-08 20:14:03,7,0,2011-03-11 20:47:04,3.022928240740741,22.00474537037037,0.007199074074073,8,3,2011,1,0,1,0,20,14,3,7,8
22,478,8,5,1336,2012-09-21 21:52:10,2012-09-21 21:52:10,5,0,2012-09-27 15:37:43,5.739965277777777,20.79592592592593,0.0006712962962964,21,9,2012,4,0,3,0,21,52,10,5,7
23,2464,8,4,7356,2010-08-03 18:36:49,2010-08-03 18:36:49,4,0,2010-08-03 18:38:25,0.0011111111111111,0.7564699074074075,0.0002083333333333,3,8,2010,1,0,3,0,18,36,49,4,7
24,3333,1,4,9935,2011-05-23 16:27:12,2011-05-23 16:27:12,4,1,2011-06-01 23:30:12,9.29375,14.281493055555554,0.0,23,5,2011,0,0,2,0,16,27,12,4,0
25,1345,2,6,3966,2011-05-03 15:25:49,2011-05-03 15:25:49,6,0,2011-05-18 16:37:33,15.049814814814814,21.9493287037037,6.896180555555556,3,5,2011,1,0,2,0,15,25,49,6,1
26,634,6,3,1779,2012-03-23 17:35:03,2012-03-23 17:35:03,3,0,0 days 00:00:00,0.0,0.0008796296296296,0.0008796296296296,23,3,2012,4,0,1,0,17,35,3,3,5
27,204,6,3,556,2011-11-02 22:41:11,2011-11-02 22:41:11,3,0,0 days 00:00:00,0.0,0.0001273148148148,0.0001273148148148,2,11,2011,2,0,4,0,22,41,11,3,5
28,1912,1,4,5683,2012-04-11 20:48:44,2012-04-11 20:48:44,4,1,2012-04-11 20:48:55,0.0001273148148148,0.9835300925925926,0.0,11,4,2012,2,0,2,0,20,48,44,4,0
29,1876,1,4,5584,2012-03-08 22:25:05,2012-03-08 22:25:05,4,1,2012-03-09 20:29:54,0.920011574074074,11.034756944444444,0.0,8,3,2012,3,0,1,0,22,25,5,4,0
30,3151,8,3,9370,2010-06-03 16:00:57,2010-06-03 16:00:57,3,0,2010-06-03 16:10:58,0.0069560185185185,43.72997685185185,0.0,3,6,2010,3,0,2,0,16,0,57,3,7
31,1191,9,5,3505,2010-02-09 00:12:28,2010-02-09 00:12:28,5,0,2010-02-26 01:56:34,17.07229166666667,17.74828703703704,0.0003240740740757,9,2,2010,1,0,1,0,0,12,28,5,8
32,1612,8,3,4776,2011-04-13 23:00:37,2011-04-13 23:00:37,3,0,2011-04-14 23:31:17,1.0212962962962964,1.0212962962962964,0.0,13,4,2011,2,0,2,0,23,0,37,3,7
33,2003,6,7,5973,2011-05-23 16:10:34,2011-05-23 16:10:34,7,0,2011-05-27 20:43:34,4.189583333333333,11.197442129629628,0.0001504629629636,23,5,2011,0,0,2,0,16,10,34,7,5
34,2003,6,7,5977,2011-06-03 20:54:40,2011-06-03 20:54:40,7,0,0 days 00:00:00,0.0,7.00829861111111,3.89730324074074,3,6,2011,4,0,2,0,20,54,40,7,5
35,2623,6,6,7815,2012-06-26 18:28:20,2012-06-26 18:28:20,6,0,0 days 00:00:00,0.0,18.323252314814816,7.972372685185185,26,6,2012,1,0,2,0,18,28,20,6,5
36,281,6,4,793,2011-07-04 20:57:06,2011-07-04 20:57:06,4,0,0 days 00:00:00,0.0,0.0261921296296296,0.0259490740740742,4,7,2011,0,0,3,0,20,57,6,4,5
37,4044,6,5,12058,2011-04-27 19:01:31,2011-04-27 19:01:31,5,0,0 days 00:00:00,0.0,8.867974537037034,8.86736111111111,27,4,2011,2,0,2,0,19,1,31,5,5
38,4549,6,3,13603,2011-10-07 23:14:52,2011-10-07 23:14:52,3,0,0 days 00:00:00,0.0,0.1083101851851853,0.1083101851851853,7,10,2011,4,0,4,0,23,14,52,3,5
39,4576,8,3,13697,2012-02-14 19:22:10,2012-02-14 19:22:10,3,0,2012-02-14 20:32:51,0.0490856481481481,0.0490856481481481,0.0,14,2,2012,1,0,1,0,19,22,10,3,7
40,2791,1,3,8311,2012-08-01 00:04:20,2012-08-01 00:04:20,3,1,2012-08-23 22:20:33,22.92792824074074,22.9340625,0.0,1,8,2012,2,0,3,0,0,4,20,3,0
41,113,3,4,293,2010-05-06 23:51:48,2010-05-06 23:51:48,4,1,2010-05-24 18:23:15,17.771840277777777,18.930324074074072,0.0,6,5,2010,3,0,2,0,23,51,48,4,2
42,1579,6,3,4677,2010-10-29 22:23:49,2010-10-29 22:23:49,3,0,0 days 00:00:00,0.0,9.259259259259256e-05,9.259259259259256e-05,29,10,2010,4,0,4,0,22,23,49,3,5
43,4386,6,4,13108,2012-04-19 17:42:45,2012-04-19 17:42:45,4,0,2012-04-19 17:42:46,1.1574074074074072e-05,0.018136574074074,1.157407407407357e-05,19,4,2012,3,0,2,0,17,42,45,4,5
44,4386,6,4,13109,2012-04-19 17:42:46,2012-04-19 17:42:46,4,0,0 days 00:00:00,0.0,0.0003356481481481,0.000324074074074,19,4,2012,3,0,2,0,17,42,46,4,5
45,3268,8,3,9728,2012-07-09 23:53:00,2012-07-09 23:53:00,3,0,2012-07-09 23:53:27,0.0003125,0.0037731481481481,0.0,9,7,2012,0,0,3,0,23,53,0,3,7
46,252,6,5,695,2011-01-21 00:21:38,2011-01-21 00:21:38,5,0,2011-01-24 22:38:44,3.928541666666667,38.763298611111104,0.0002430555555577,21,1,2011,4,0,1,0,0,21,38,5,5
47,252,6,5,697,2011-02-28 18:40:26,2011-02-28 18:40:26,5,0,0 days 00:00:00,0.0,4.946874999999999,3.928541666666668,28,2,2011,0,0,1,0,18,40,26,5,5
48,1161,1,3,3405,2012-07-18 17:00:13,2012-07-18 17:00:13,3,1,2012-07-20 15:52:34,1.9530208333333332,2.046701388888889,0.0,18,7,2012,2,0,3,0,17,0,13,3,0
49,2404,8,2,7168,2011-11-03 20:42:56,2011-11-03 20:42:56,2,1,2011-11-03 22:57:12,0.0932407407407407,0.0932407407407407,0.0,3,11,2011,3,0,4,0,20,42,56,2,7
50,4195,1,5,12506,2010-09-29 20:40:00,2010-09-29 20:40:00,5,1,2010-09-29 21:09:53,0.0207523148148148,5.00980324074074,0.0,29,9,2010,2,0,3,0,20,40,0,5,0
51,3568,8,4,10609,2011-09-21 15:08:40,2011-09-21 15:08:40,4,0,2011-10-18 16:41:28,27.064444444444444,41.71179398148148,0.0,21,9,2011,2,0,3,0,15,8,40,4,7
52,4534,6,3,13562,2011-09-13 01:04:15,2011-09-13 01:04:15,3,0,0 days 00:00:00,0.0,0.0314699074074074,0.0314699074074074,13,9,2011,1,0,3,0,1,4,15,3,5
53,1528,8,11,4513,2010-07-02 17:41:09,2010-07-02 17:41:09,11,0,2010-07-02 18:13:08,0.0222106481481481,3.640717592592592,9.25925925927551e-05,2,7,2010,4,0,3,0,17,41,9,11,7
